"2024 College Graduate Career Jobs — Hiring & Layoff Data [CPI-Adjusted to 2025 USD, factor=1.0261]",,,,,
#,Job Title,Industry / Category,Avg. Salary (2025 USD),# Hired in 2024,# Fired / Laid Off in 2024
1.0,Software Engineer,Technology,189835.83,12000.0,1554.0
2.0,Frontend Developer,Technology,148790.25,9500.0,413.0
3.0,Backend Developer,Technology,159051.64,10200.0,800.0
4.0,Full Stack Developer,Technology,164182.34,10800.0,769.0
5.0,Mobile App Developer (iOS),Technology,141607.27,8900.0,1273.0
6.0,Mobile App Developer (Android),Technology,139554.99,8700.0,1172.0
7.0,Data Scientist,Technology,145711.83,9200.0,1517.0
8.0,Data Engineer,Technology,151868.66,9800.0,511.0
9.0,Data Analyst,Technology,100561.68,6500.0,643.0
10.0,Machine Learning Engineer,Technology,179574.43,11000.0,485.0
11.0,AI Research Scientist,Technology,200097.23,8500.0,600.0
12.0,DevOps Engineer,Technology,155973.22,9600.0,1063.0
13.0,Site Reliability Engineer,Technology,162130.06,9100.0,397.0
14.0,Cloud Architect,Technology,182652.85,8200.0,556.0
15.0,Cybersecurity Analyst,Technology,114927.64,7400.0,969.0
16.0,Penetration Tester,Technology,121084.48,4200.0,488.0
17.0,Security Engineer,Technology,148790.25,6800.0,481.0
18.0,Network Engineer,Technology,104666.24,5900.0,722.0
19.0,Systems Administrator,Technology,90300.29,5400.0,827.0
20.0,IT Support Specialist,Technology,59516.1,4200.0,171.0
21.0,Database Administrator,Technology,107744.66,5700.0,871.0
22.0,Blockchain Developer,Technology,151868.66,7200.0,991.0
23.0,Game Developer,Technology,114927.64,8800.0,771.0
24.0,Embedded Systems Engineer,Technology,125189.03,5100.0,315.0
25.0,QA Engineer,Technology,94404.85,7600.0,1322.0
26.0,Product Manager (Tech),Technology,159051.64,9200.0,801.0
27.0,Technical Program Manager,Technology,166234.62,7800.0,413.0
28.0,Solutions Architect,Technology,172391.46,6400.0,342.0
29.0,UX Designer,Technology,107744.66,8200.0,1300.0
30.0,UI Designer,Technology,100561.68,7900.0,983.0
31.0,UX Researcher,Technology,110823.08,6800.0,1040.0
32.0,Product Designer,Technology,121084.48,8100.0,1151.0
33.0,Scrum Master,Technology,114927.64,6200.0,713.0
34.0,IT Project Manager,Technology,121084.48,5800.0,1022.0
35.0,ERP Consultant,Technology,110823.08,4900.0,455.0
36.0,Salesforce Developer,Technology,131345.87,6700.0,785.0
37.0,Business Intelligence Analyst,Technology,104666.24,5600.0,874.0
38.0,Cloud Engineer (AWS),Technology,151868.66,8900.0,1126.0
39.0,Cloud Engineer (Azure),Technology,148790.25,8600.0,1381.0
40.0,Cloud Engineer (GCP),Technology,145711.83,7800.0,942.0
41.0,Platform Engineer,Technology,159051.64,7200.0,998.0
42.0,Hardware Engineer,Technology,121084.48,4800.0,222.0
43.0,Firmware Engineer,Technology,125189.03,4200.0,302.0
44.0,Robotics Engineer,Technology,135450.43,3800.0,305.0
45.0,Computer Vision Engineer,Technology,166234.62,5600.0,286.0
46.0,NLP Engineer,Technology,172391.46,4900.0,355.0
47.0,AR/VR Developer,Technology,131345.87,4500.0,243.0
48.0,Quantum Computing Researcher,Technology,189835.83,1200.0,94.0
49.0,IT Auditor,Technology,94404.85,3900.0,503.0
50.0,Technical Writer,Technology,84143.45,5200.0,473.0
51.0,Investment Banker,Finance,148790.25,6200.0,569.0
52.0,Financial Analyst,Finance,84143.45,7800.0,540.0
53.0,Portfolio Manager,Finance,169313.04,3800.0,294.0
54.0,Equity Research Analyst,Finance,114927.64,3200.0,547.0
55.0,Risk Analyst,Finance,94404.85,4500.0,588.0
56.0,Credit Analyst,Finance,80038.89,4200.0,526.0
57.0,Loan Officer,Finance,73882.05,5800.0,370.0
58.0,Financial Planner,Finance,90300.29,6200.0,880.0
59.0,Wealth Manager,Finance,128267.45,4100.0,257.0
60.0,Actuary,Finance,121084.48,3500.0,325.0
61.0,Quantitative Analyst,Finance,169313.04,4200.0,749.0
62.0,Trader,Finance,148790.25,4800.0,622.0
63.0,Hedge Fund Analyst,Finance,148790.25,2800.0,330.0
64.0,Private Equity Analyst,Finance,141607.27,2200.0,298.0
65.0,Venture Capital Analyst,Finance,128267.45,1800.0,284.0
66.0,Corporate Finance Analyst,Finance,94404.85,5600.0,832.0
67.0,Treasury Analyst,Finance,84143.45,4100.0,295.0
68.0,Tax Associate,Finance,80038.89,5200.0,231.0
69.0,Accountant (CPA),Finance,76960.47,7200.0,605.0
70.0,Auditor,Finance,73882.05,5900.0,457.0
71.0,Forensic Accountant,Finance,97483.26,2800.0,194.0
72.0,Controller,Finance,148790.25,3200.0,550.0
73.0,CFO,Finance,271927.0,1800.0,292.0
74.0,Compliance Officer,Finance,104666.24,4500.0,378.0
75.0,Underwriter,Finance,90300.29,3900.0,513.0
76.0,Insurance Agent,Finance,66699.08,8200.0,782.0
77.0,Claims Adjuster,Finance,63620.66,5600.0,941.0
78.0,Mortgage Broker,Finance,84143.45,4800.0,500.0
79.0,Real Estate Analyst,Finance,90300.29,4200.0,323.0
80.0,Budget Analyst,Finance,80038.89,4900.0,365.0
81.0,Economic Consultant,Finance,114927.64,2800.0,332.0
82.0,Economist,Finance,110823.08,2500.0,191.0
83.0,Financial Examiner,Finance,87221.87,3200.0,389.0
84.0,Bookkeeper,Finance,49254.7,4500.0,745.0
85.0,Payroll Specialist,Finance,56437.68,4200.0,402.0
86.0,Physician (General Practice),Healthcare,254482.63,2800.0,197.0
87.0,Surgeon,Healthcare,395063.76,1800.0,323.0
88.0,Psychiatrist,Healthcare,282188.4,2200.0,244.0
89.0,Pediatrician,Healthcare,233959.83,2500.0,131.0
90.0,Cardiologist,Healthcare,446370.74,1200.0,55.0
91.0,Dermatologist,Healthcare,405325.15,1100.0,60.0
92.0,Neurologist,Healthcare,336573.8,1500.0,191.0
93.0,Radiologist,Healthcare,425847.94,1200.0,181.0
94.0,Anesthesiologist,Healthcare,408403.57,1400.0,138.0
95.0,Oncologist,Healthcare,371462.54,1600.0,78.0
96.0,Orthopedic Surgeon,Healthcare,497677.72,900.0,84.0
97.0,Emergency Medicine Physician,Healthcare,350939.75,1800.0,323.0
98.0,Nurse Practitioner,Healthcare,121084.48,15800.0,1802.0
99.0,Registered Nurse,Healthcare,84143.45,42000.0,7389.0
100.0,Physician Assistant,Healthcare,128267.45,9800.0,1572.0
101.0,Pharmacist,Healthcare,131345.87,6200.0,257.0
102.0,Physical Therapist,Healthcare,94404.85,8500.0,1197.0
103.0,Occupational Therapist,Healthcare,90300.29,7200.0,975.0
104.0,Speech-Language Pathologist,Healthcare,87221.87,5800.0,668.0
105.0,Dental Hygienist,Healthcare,80038.89,6900.0,533.0
106.0,Dentist,Healthcare,182652.85,4200.0,544.0
107.0,Optometrist,Healthcare,131345.87,3800.0,211.0
108.0,Chiropractor,Healthcare,84143.45,3500.0,353.0
109.0,Veterinarian,Healthcare,125189.03,3200.0,331.0
110.0,Radiologic Technologist,Healthcare,69777.49,6800.0,1180.0
111.0,Medical Laboratory Scientist,Healthcare,73882.05,5900.0,959.0
112.0,Clinical Social Worker,Healthcare,63620.66,8200.0,630.0
113.0,Respiratory Therapist,Healthcare,69777.49,5400.0,594.0
114.0,Dietitian / Nutritionist,Healthcare,66699.08,5200.0,338.0
115.0,Healthcare Administrator,Healthcare,107744.66,7800.0,1308.0
116.0,Medical Coder,Healthcare,53359.26,6200.0,1003.0
117.0,Medical Transcriptionist,Healthcare,43097.86,2800.0,228.0
118.0,Genetic Counselor,Healthcare,90300.29,2200.0,284.0
119.0,Biomedical Engineer,Healthcare,100561.68,3800.0,475.0
120.0,Clinical Research Coordinator,Healthcare,63620.66,5600.0,343.0
121.0,Attorney (Corporate Law),Legal,189835.83,4200.0,616.0
122.0,Attorney (Criminal Defense),Legal,80038.89,3800.0,438.0
123.0,Attorney (Family Law),Legal,73882.05,4100.0,610.0
124.0,Attorney (Immigration),Legal,69777.49,3500.0,399.0
125.0,Attorney (Intellectual Property),Legal,189835.83,2800.0,112.0
126.0,Attorney (Real Estate),Legal,94404.85,3200.0,273.0
127.0,Attorney (Tax Law),Legal,148790.25,2500.0,106.0
128.0,Attorney (Environmental Law),Legal,90300.29,2200.0,374.0
129.0,Public Defender,Legal,59516.1,3200.0,521.0
130.0,Prosecutor / District Attorney,Legal,73882.05,2800.0,438.0
131.0,Judge,Legal,148790.25,1200.0,99.0
132.0,Paralegal,Legal,56437.68,7200.0,346.0
133.0,Legal Secretary,Legal,49254.7,5800.0,944.0
134.0,Compliance Manager,Legal,121084.48,3900.0,673.0
135.0,Contract Manager,Legal,107744.66,4200.0,218.0
136.0,Legal Analyst,Legal,73882.05,3800.0,410.0
137.0,Patent Agent,Legal,107744.66,2200.0,109.0
138.0,Arbitrator / Mediator,Legal,90300.29,1800.0,263.0
139.0,Title Examiner,Legal,59516.1,2900.0,426.0
140.0,Court Reporter,Legal,63620.66,2200.0,127.0
141.0,Elementary School Teacher,Education,49254.7,28000.0,2983.0
142.0,Middle School Teacher,Education,53359.26,18000.0,2105.0
143.0,High School Teacher,Education,56437.68,22000.0,1696.0
144.0,Special Education Teacher,Education,59516.1,12000.0,1945.0
145.0,School Counselor,Education,63620.66,8500.0,843.0
146.0,School Psychologist,Education,82091.17,5200.0,362.0
147.0,Principal,Education,104666.24,4200.0,485.0
148.0,University Professor,Education,114927.64,8200.0,1165.0
149.0,College Lecturer,Education,66699.08,6800.0,463.0
150.0,Academic Advisor,Education,53359.26,7200.0,602.0
151.0,Curriculum Developer,Education,73882.05,4500.0,806.0
152.0,Instructional Designer,Education,80038.89,5800.0,759.0
153.0,ESL Teacher,Education,49254.7,9200.0,932.0
154.0,Librarian,Education,59516.1,4800.0,539.0
155.0,Education Administrator,Education,84143.45,5200.0,296.0
156.0,Tutoring Center Director,Education,63620.66,3800.0,271.0
157.0,Corporate Trainer,Education,73882.05,5600.0,489.0
158.0,E-Learning Developer,Education,90300.29,4200.0,513.0
159.0,Museum Educator,Education,49254.7,3500.0,252.0
160.0,Early Childhood Educator,Education,38993.31,15000.0,1062.0
161.0,Marketing Manager,Marketing,114927.64,9200.0,459.0
162.0,Digital Marketing Specialist,Marketing,73882.05,12000.0,1540.0
163.0,SEO Specialist,Marketing,69777.49,9800.0,706.0
164.0,Content Marketing Manager,Marketing,84143.45,8500.0,1417.0
165.0,Social Media Manager,Marketing,63620.66,14000.0,2244.0
166.0,Brand Manager,Marketing,100561.68,6800.0,339.0
167.0,Advertising Manager,Marketing,107744.66,5600.0,410.0
168.0,Market Research Analyst,Marketing,69777.49,7200.0,962.0
169.0,Public Relations Specialist,Marketing,63620.66,6800.0,475.0
170.0,Communications Director,Marketing,128267.45,4200.0,245.0
171.0,Copywriter,Marketing,66699.08,8900.0,1521.0
172.0,Content Strategist,Marketing,80038.89,6500.0,779.0
173.0,Growth Hacker,Marketing,90300.29,5800.0,615.0
174.0,Email Marketing Specialist,Marketing,63620.66,7500.0,1123.0
175.0,Influencer Marketing Manager,Marketing,73882.05,5200.0,795.0
176.0,Event Planner,Marketing,53359.26,8200.0,546.0
177.0,Media Buyer,Marketing,69777.49,4800.0,257.0
178.0,Product Marketing Manager,Marketing,121084.48,7200.0,722.0
179.0,Creative Director,Marketing,148790.25,4200.0,417.0
180.0,Graphic Designer,Marketing,59516.1,9800.0,1032.0
181.0,Video Producer,Marketing,73882.05,7800.0,1108.0
182.0,Podcast Producer,Marketing,56437.68,4800.0,644.0
183.0,Photojournalist,Marketing,49254.7,3200.0,568.0
184.0,Animator,Marketing,73882.05,5800.0,311.0
185.0,Motion Graphics Designer,Marketing,80038.89,5200.0,501.0
186.0,Biologist,Science,84143.45,4200.0,367.0
187.0,Chemist,Science,80038.89,4500.0,722.0
188.0,Physicist,Science,100561.68,2800.0,209.0
189.0,Environmental Scientist,Science,73882.05,5600.0,373.0
190.0,Geologist,Science,90300.29,3800.0,390.0
191.0,Astronomer,Science,114927.64,1200.0,118.0
192.0,Marine Biologist,Science,69777.49,2200.0,173.0
193.0,Ecologist,Science,66699.08,3500.0,262.0
194.0,Neuroscientist,Science,94404.85,2500.0,423.0
195.0,Epidemiologist,Science,90300.29,3200.0,326.0
196.0,Forensic Scientist,Science,69777.49,3800.0,610.0
197.0,Microbiologist,Science,80038.89,3500.0,409.0
198.0,Biochemist,Science,84143.45,4200.0,197.0
199.0,Agricultural Scientist,Science,66699.08,3800.0,683.0
200.0,Food Scientist,Science,73882.05,4200.0,659.0
201.0,Materials Scientist,Science,94404.85,3200.0,562.0
202.0,Nanotechnologist,Science,104666.24,1800.0,305.0
203.0,Toxicologist,Science,80038.89,2800.0,444.0
204.0,Clinical Psychologist,Science,94404.85,5800.0,367.0
205.0,Research Psychologist,Science,84143.45,3500.0,377.0
206.0,Sociologist,Science,73882.05,2800.0,195.0
207.0,Anthropologist,Science,66699.08,2200.0,211.0
208.0,Archaeologist,Science,63620.66,2500.0,120.0
209.0,Political Scientist,Science,114927.64,2200.0,204.0
210.0,Statistician,Science,104666.24,4800.0,854.0
211.0,Biostatistician,Science,110823.08,3200.0,246.0
212.0,Computational Biologist,Science,114927.64,2500.0,374.0
213.0,Pharmacologist,Science,100561.68,2800.0,290.0
214.0,Immunologist,Science,104666.24,2200.0,218.0
215.0,Virologist,Science,97483.26,2500.0,435.0
216.0,Mechanical Engineer,Engineering,100561.68,7200.0,1291.0
217.0,Electrical Engineer,Engineering,107744.66,6800.0,801.0
218.0,Civil Engineer,Engineering,94404.85,8500.0,1194.0
219.0,Chemical Engineer,Engineering,114927.64,5200.0,320.0
220.0,Aerospace Engineer,Engineering,128267.45,3800.0,309.0
221.0,Nuclear Engineer,Engineering,121084.48,1800.0,316.0
222.0,Industrial Engineer,Engineering,97483.26,5600.0,678.0
223.0,Structural Engineer,Engineering,100561.68,5200.0,602.0
224.0,Environmental Engineer,Engineering,90300.29,4800.0,694.0
225.0,Materials Engineer,Engineering,100561.68,3800.0,182.0
226.0,Petroleum Engineer,Engineering,148790.25,2800.0,340.0
227.0,Mining Engineer,Engineering,118006.06,2500.0,275.0
228.0,Biomedical Engineer (Device),Engineering,104666.24,3500.0,557.0
229.0,Agricultural Engineer,Engineering,84143.45,2800.0,173.0
230.0,Marine Engineer,Engineering,107744.66,2200.0,383.0
231.0,Geotechnical Engineer,Engineering,94404.85,3200.0,163.0
232.0,Transportation Engineer,Engineering,90300.29,4200.0,277.0
233.0,Water Resources Engineer,Engineering,87221.87,3800.0,468.0
234.0,Acoustical Engineer,Engineering,94404.85,1800.0,242.0
235.0,Optical Engineer,Engineering,110823.08,2200.0,160.0
236.0,Manufacturing Engineer,Engineering,90300.29,5800.0,329.0
237.0,Quality Engineer,Engineering,84143.45,5200.0,856.0
238.0,Process Engineer,Engineering,94404.85,4800.0,357.0
239.0,Safety Engineer,Engineering,90300.29,3900.0,480.0
240.0,Packaging Engineer,Engineering,80038.89,3500.0,443.0
241.0,Architectural Engineer,Engineering,87221.87,3200.0,315.0
242.0,Management Consultant,Business,148790.25,7800.0,949.0
243.0,Business Analyst,Business,90300.29,9200.0,1041.0
244.0,Operations Manager,Business,104666.24,8500.0,1452.0
245.0,Supply Chain Manager,Business,114927.64,6800.0,466.0
246.0,Logistics Coordinator,Business,63620.66,7200.0,1009.0
247.0,Procurement Manager,Business,107744.66,5600.0,411.0
248.0,Human Resources Manager,Business,100561.68,7800.0,744.0
249.0,Recruiter,Business,63620.66,12000.0,1608.0
250.0,Talent Acquisition Specialist,Business,73882.05,9800.0,803.0
251.0,Training & Development Manager,Business,90300.29,5200.0,438.0
252.0,Compensation Analyst,Business,80038.89,4800.0,697.0
253.0,Benefits Administrator,Business,63620.66,4500.0,225.0
254.0,CEO,Business,395063.76,1200.0,124.0
255.0,COO,Business,302711.19,1400.0,251.0
256.0,CMO,Business,251404.21,1600.0,287.0
257.0,Strategy Consultant,Business,169313.04,4800.0,241.0
258.0,Change Management Consultant,Business,148790.25,3800.0,265.0
259.0,Account Manager,Business,73882.05,11000.0,848.0
260.0,Sales Representative,Business,63620.66,18000.0,3071.0
261.0,Sales Manager,Business,107744.66,8200.0,1339.0
262.0,Business Development Manager,Business,114927.64,6800.0,1109.0
263.0,Entrepreneur / Startup Founder,Business,69777.49,5200.0,477.0
264.0,Franchise Owner,Business,84143.45,4800.0,298.0
265.0,Retail Manager,Business,53359.26,9800.0,1535.0
266.0,Store Manager,Business,56437.68,8500.0,1177.0
267.0,E-commerce Manager,Business,87221.87,6800.0,854.0
268.0,Customer Success Manager,Business,80038.89,8200.0,1461.0
